,playername,gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,atBats,caughtStealing,stolenBases,groundIntoDoublePlay,plateAppearances,totalBases,leftOnBase,sacBunts,sacFlies,catchersInterference,avg,obp,slg,ops,rbi,groundOutsToAirouts,strikeOutsperplateAppearance,homeRunsperplateAppearance,babip,normalized_avg,normalized_ops
608324,Alex Bregman,122,106,159,77,34,0,19,64,67,1,118,7,441,1,1,16,521.0,209,201.0,0,6,0,0.268,0.369,0.474,0.843,75.0,0.67,0.12284069097888675,0.036468330134357005,0.27197802197802196,108.69455006337138,117.97657806501773
676801,Chas McCormick,1,67,66,36,10,2,12,79,36,0,66,1,277,2,2,5,315.0,116,105.0,0,1,0,0.238,0.327,0.419,0.746,37.0,1.02,0.2507936507936508,0.0380952380952381,0.2887700534759358,96.52724968314324,104.40157442052578
676694,Jake Meyers,46,40,21,11,6,2,1,50,7,0,29,2,139,1,1,1,149.0,42,57.0,0,1,0,0.209,0.255,0.302,0.557,14.0,1.9,0.33557046979865773,0.006711409395973154,0.3146067415730337,84.76552598225602,77.95130958744352
665161,Jeremy Pena,102,107,90,52,16,1,16,105,19,0,96,5,393,2,7,3,423.0,162,155.0,0,5,1,0.244,0.284,0.412,0.696,45.0,1.19,0.24822695035460993,0.037825059101654845,0.2888086642599278,98.96070975918886,97.4041498615093
514888,Jose Altuve,2,107,121,72,29,0,21,69,50,1,118,8,414,1,12,12,473.0,210,102.0,0,1,0,0.285,0.372,0.507,0.879,45.0,0.88,0.14587737843551796,0.04439746300211417,0.29846153846153844,115.58935361216732,123.01472374750959
663656,Kyle Tucker,3,93,147,56,22,1,22,75,50,2,109,0,422,2,19,6,475.0,199,184.0,0,2,1,0.258,0.335,0.472,0.807,82.0,0.63,0.15789473684210525,0.04631578947368421,0.26605504587155965,104.63878326996199,112.93843238252587
671277,Luis Garcia,59,74,48,18,13,2,4,50,4,0,68,1,236,4,2,3,245.0,97,101.0,1,3,0,0.288,0.299,0.411,0.71,26.0,1.54,0.20408163265306123,0.0163265306122449,0.34594594594594597,116.80608365019012,99.3634287380339
455117,Martin Maldonado,93,71,70,31,12,0,12,98,19,0,51,5,285,11,29,4,314.0,99,144.0,3,2,0,0.179,0.241,0.347,0.588,37.0,1.01,0.31210191082802546,0.03821656050955414,0.22033898305084745,72.5982256020279,82.28971281403372
669257,Will Smith,18,80,138,54,22,1,18,73,48,2,106,7,393,9,38,8,452.0,184,186.0,0,4,0,0.27,0.356,0.468,0.824,73.0,0.58,0.16150442477876106,0.03982300884955752,0.2875816993464052,109.50570342205326,115.31755673259147
670541,Yordan Alvarez,64,100,84,78,17,2,31,88,64,7,111,5,377,1,1,11,452.0,225,182.0,0,6,0,0.294,0.398,0.597,0.995,80.0,1.19,0.19469026548672566,0.06858407079646017,0.30303030303030304,119.23954372623575,139.2487487244278
