,playername,gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,atBats,caughtStealing,stolenBases,groundIntoDoublePlay,plateAppearances,totalBases,leftOnBase,sacBunts,sacFlies,catchersInterference,avg,obp,slg,ops,rbi,groundOutsToAirouts,strikeOutsperplateAppearance,homeRunsperplateAppearance,hitsperplateAppearance,rbiperplateAppearance,babip,avg_mean,avg_std,normalized_avg,avg_z_score,babip_mean,babip_std,normalized_babip,babip_z_score,ops_mean,ops_std,normalized_ops,ops_z_score,hits_mean,hits_std,normalized_hits,hits_z_score,rbi_mean,rbi_std,normalized_rbi,rbi_z_score
608324,Alex Bregman,131.0,108.0,172.0,82.0,34.0,0.0,20.0,71.0,78.0,1.0,124.0,7.0,467.0,2.0,1.0,17.0,560.0,218.0,217.0,0.0,8.0,0.0,0.266,0.373,0.467,0.84,78.0,0.63,0.12678571428571428,0.03571428571428571,0.22142857142857142,0.1392857142857143,0.2708333333333333,0.24463225806451613,0.03558126227928846,108.73463790284299,0.6005335552112173,0.29044287692903553,0.046179225151725234,93.24839920226604,-0.42463994428822965,0.7040903225806453,0.1045578425475916,119.3028753642311,1.2998515855708543,81.51612903225806,38.04736536072286,152.1171349426197,1.116604804694282,40.851612903225806,23.03323221657546,190.93493367024635,1.6128169397797767
676801,Chas McCormick,1.0,70.0,73.0,39.0,11.0,2.0,13.0,87.0,38.0,0.0,72.0,1.0,301.0,2.0,2.0,5.0,341.0,126.0,117.0,0.0,1.0,0.0,0.239,0.326,0.419,0.745,41.0,0.96,0.25513196480938416,0.03812316715542522,0.21114369501466276,0.12023460410557185,0.29207920792079206,0.24463225806451613,0.03558126227928846,97.69766337887019,-0.1582928121073049,0.29044287692903553,0.046179225151725234,100.56339167586346,0.03543435357306762,0.7040903225806453,0.1045578425475916,105.81028826946688,0.3912635955617948,81.51612903225806,38.04736536072286,88.32607835377918,-0.25011269353440635,40.851612903225806,23.03323221657546,100.3632343651295,0.006442304552784799
665161,Jeremy Pena,112.0,119.0,96.0,56.0,17.0,1.0,17.0,118.0,19.0,0.0,109.0,5.0,437.0,2.0,9.0,3.0,469.0,179.0,168.0,0.0,5.0,3.0,0.249,0.285,0.41,0.695,47.0,1.24,0.2515991471215352,0.03624733475479744,0.232409381663113,0.10021321961620469,0.2996742671009772,0.24463225806451613,0.03558126227928846,101.78543172108235,0.12275399060325887,0.29044287692903553,0.046179225151725234,103.17838408348959,0.19990353111407302,0.7040903225806453,0.1045578425475916,98.7089266406436,-0.08694060970613186,81.51612903225806,38.04736536072286,133.71586861891572,0.7223593725129296,40.851612903225806,23.03323221657546,115.05053695514844,0.26693548864364836
514888,Jose Altuve,2.0,116.0,131.0,81.0,33.0,0.0,24.0,77.0,57.0,2.0,130.0,8.0,453.0,1.0,15.0,12.0,519.0,235.0,116.0,0.0,1.0,0.0,0.287,0.376,0.519,0.895,52.0,0.89,0.14836223506743737,0.046242774566473986,0.2504816955684008,0.1001926782273603,0.3002832861189802,0.24463225806451613,0.03558126227928846,117.31895142148846,1.1907318409033996,0.29044287692903553,0.046179225151725234,103.38807041645886,0.2130916912878741,0.7040903225806453,0.1045578425475916,127.11437315593672,1.8258762113655735,81.51612903225806,38.04736536072286,159.4776414721013,1.2743029775668229,40.851612903225806,23.03323221657546,127.28995578016425,0.4840131420527013
663656,Kyle Tucker,3.0,105.0,158.0,62.0,24.0,1.0,24.0,80.0,53.0,3.0,119.0,0.0,460.0,2.0,22.0,8.0,518.0,217.0,210.0,0.0,2.0,3.0,0.259,0.334,0.472,0.806,88.0,0.66,0.15444015444015444,0.04633204633204633,0.22972972972972974,0.16988416988416988,0.26536312849162014,0.24463225806451613,0.03558126227928846,105.87320006329448,0.4038007933138226,0.29044287692903553,0.046179225151725234,91.36499792916484,-0.5430959128269052,0.7040903225806453,0.1045578425475916,114.47394945663127,0.9746727259886653,81.51612903225806,38.04736536072286,145.98337950138506,0.9851896606338312,40.851612903225806,23.03323221657546,215.41377132027796,2.0469722465978824
671277,Luis Garcia,59.0,89.0,54.0,23.0,17.0,2.0,6.0,64.0,5.0,0.0,83.0,1.0,286.0,4.0,2.0,4.0,296.0,122.0,129.0,1.0,3.0,0.0,0.29,0.302,0.427,0.729,34.0,1.65,0.21621621621621623,0.02027027027027027,0.28040540540540543,0.11486486486486487,0.3515981735159817,0.24463225806451613,0.03558126227928846,118.5452819241521,1.2750458817165686,0.29044287692903553,0.046179225151725234,121.05587757343706,1.3243032204636602,0.7040903225806453,0.1045578425475916,103.53785254824342,0.23823824987605824,81.51612903225806,38.04736536072286,101.82034032449545,0.03900062339858541,40.851612903225806,23.03323221657546,83.22804801010739,-0.29746641021988934
455117,Martin Maldonado,98.0,77.0,73.0,31.0,12.0,0.0,12.0,101.0,21.0,0.0,52.0,6.0,298.0,13.0,35.0,5.0,330.0,100.0,151.0,3.0,2.0,0.0,0.174,0.242,0.336,0.578,38.0,1.05,0.30606060606060603,0.03636363636363636,0.15757575757575756,0.11515151515151516,0.21390374331550802,0.24463225806451613,0.03558126227928846,71.12716915449127,-1.9850970297259678,0.29044287692903553,0.046179225151725234,73.64743992939154,-1.6574365066120658,0.7040903225806453,0.1045578425475916,82.09174042919712,-1.2059384500330792,81.51612903225806,38.04736536072286,63.79105658884052,-0.7757732697762095,40.851612903225806,23.03323221657546,93.01958307012002,-0.12380428749264696
641820,Trey Mancini,14.0,19.0,29.0,13.0,3.0,0.0,6.0,30.0,9.0,0.0,20.0,1.0,97.0,0.0,0.0,1.0,108.0,41.0,44.0,0.0,1.0,0.0,0.206,0.278,0.423,0.701,17.0,0.66,0.2777777777777778,0.05555555555555555,0.18518518518518517,0.1574074074074074,0.22580645161290322,0.24463225806451613,0.03558126227928846,84.20802784957012,-1.0857472610521646,0.29044287692903553,0.046179225151725234,77.74556360288186,-1.399686224785379,0.7040903225806453,0.1045578425475916,99.56109003610239,-0.029556105073980668,81.51612903225806,38.04736536072286,24.535021764938662,-1.6168301917630947,40.851612903225806,23.03323221657546,41.61402400505369,-1.0355304318106693
669257,Will Smith,20.0,87.0,153.0,58.0,23.0,1.0,21.0,78.0,51.0,3.0,111.0,9.0,425.0,9.0,41.0,8.0,489.0,199.0,198.0,0.0,4.0,0.0,0.261,0.35,0.468,0.818,81.0,0.57,0.15950920245398773,0.04294478527607362,0.22699386503067484,0.1656441717791411,0.2727272727272727,0.24463225806451613,0.03558126227928846,106.6907537317369,0.4600101538559354,0.29044287692903553,0.046179225151725234,93.9004859099742,-0.3836271428019181,0.7040903225806453,0.1045578425475916,116.17827624754887,1.0894417352529666,81.51612903225806,38.04736536072286,136.16937079540958,0.7749254301371099,40.851612903225806,23.03323221657546,198.27858496525585,1.7430635318252083
670541,Yordan Alvarez,66.0,107.0,89.0,78.0,19.0,2.0,31.0,92.0,67.0,8.0,115.0,5.0,397.0,1.0,1.0,12.0,475.0,231.0,191.0,0.0,6.0,0.0,0.29,0.394,0.582,0.976,82.0,1.20,0.1936842105263158,0.06526315789473684,0.24210526315789474,0.1726315789473684,0.3,0.24463225806451613,0.03558126227928846,118.5452819241521,1.2750458817165686,0.29044287692903553,0.046179225151725234,103.29053450097163,0.2069571986009689,0.7040903225806453,0.1045578425475916,138.6185789946304,2.6005670238996137,81.51612903225806,38.04736536072286,141.0763751483973,0.8800575453854705,40.851612903225806,23.03323221657546,200.726468730259,1.786479062507019
