,name,div_rank,w,l,gb,wc_rank,wc_gb,wc_elim_num,elim_num,team_id,league_rank,sport_rank
0,Houston Astros,1,95,50,-,-,-,-,-,117,1,1
1,Seattle Mariners,2,80,63,14.0,2,+0.5,-,5,136,4,4
2,Texas Rangers,3,63,81,31.5,8,17.0,2,E,140,11,11
3,Los Angeles Angels,4,62,82,32.5,9,18.0,1,E,108,12,12
4,Oakland Athletics,5,52,93,43.0,12,28.5,E,E,133,15,15
0,New York Yankees,1,87,57,-,-,-,-,-,147,2,2
1,Toronto Blue Jays,2,82,63,5.5,1,+1.5,-,13,141,3,3
2,Tampa Bay Rays,3,80,64,7.0,3,-,-,12,139,5,5
3,Baltimore Orioles,4,75,68,11.5,4,4.5,15,8,110,7,7
4,Boston Red Sox,5,70,74,17.0,7,10.0,9,2,111,10,10
0,Cleveland Guardians,1,77,66,-,-,-,-,-,114,6,6
1,Chicago White Sox,2,74,71,4.0,5,6.5,12,15,145,8,8
2,Minnesota Twins,3,72,71,5.0,6,7.5,12,15,142,9,9
3,Kansas City Royals,4,57,88,21.0,10,23.5,E,E,118,13,13
4,Detroit Tigers,5,55,89,22.5,11,25.0,E,E,116,14,14
