,playername,gamesPlayed,gamesStarted,assists,putOuts,errors,chances,fielding,rangeFactorPerGame,rangeFactorPer9Inn,innings,games,doublePlays,triplePlays,throwingErrors,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun,era,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,whip,battersFaced,outs,gamesPitched,completeGames,shutouts,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,winPercentage,pitchesPerInning,gamesFinished,strikeoutWalkRatio,strikeoutsPer9Inn,walksPer9Inn,hitsPer9Inn,runsScoredPer9,homeRunsPer9,inheritedRunners,inheritedRunnersScored,passedBall,catcherERA
649557,Aledmys Diaz,88,7,0,0,0,0,.000,0.00,-.--,0.0,7,0,0,0,73,96,35,13,0,12,51,18,0,73,2,.251,291,.297,.419,.716,1,1,.500,7,1146,313,122,38,115,0,2,.265,0.76,0,24.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
608324,Alex Bregman,150,148,254,138,7,399,.982,2.63,2.68,1318.1,149,38,0,3,123,202,92,38,0,23,77,85,1,139,11,.262,531,.369,.463,.832,2,1,.333,17,2460,637,246,92,249,0,10,.263,0.61,0,23.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650556,Bryan Abreu,53,0,6,1,0,7,1.000,0.13,1.09,58.1,53,0,0,0,45,39,16,7,0,2,83,26,0,44,4,.210,210,.307,.271,.578,1,7,.875,6,984,,57,,,0,1,,1.15,0,,2.01,58.1,4,0,2,2,6,0,13,1.20,241,175,53,0,0,608,.620,4,0,7,0,1.000,16.87,18,3.19,12.81,4.01,6.79,2.47,0.31,27,10,,
676801,Chas McCormick,115,1,0,0,0,0,.000,0.00,-.--,0.0,1,0,0,0,82,82,44,11,2,14,104,44,0,84,1,.239,351,.325,.402,.727,3,4,.571,5,1549,397,141,43,129,0,1,.299,1.00,0,25.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
543877,Christian Vazquez,31,1,0,0,0,0,.000,0.00,-.--,0.0,1,0,0,0,28,28,7,3,0,0,16,4,0,24,0,.250,96,.280,.281,.561,2,0,.000,2,382,100,27,8,36,0,0,.300,1.00,0,-.--,,,,,,,,,,,,,,,,,,,,8,0,,,,,,,,,,,,0,3.09
664299,Cristian Javier,29,24,2,2,0,4,1.000,0.14,0.25,142.2,29,1,0,0,65,170,44,18,1,17,187,50,0,87,6,.172,506,.254,.312,.566,2,9,.818,4,2459,,158,,,2,1,,0.38,0,,2.65,142.2,10,9,0,0,1,0,42,0.96,565,428,29,0,0,1563,.640,6,1,5,0,.526,17.24,0,3.74,11.80,3.15,5.49,2.78,1.07,0,0,,
682073,David Hensley,13,4,0,0,0,0,.000,0.00,-.--,0.0,6,0,0,0,9,4,6,2,0,1,6,4,0,8,0,.296,27,.387,.481,.868,0,0,.---,3,123,31,13,5,13,0,0,.350,2.25,0,27.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
664285,Framber Valdez,30,30,23,6,1,30,.967,0.97,1.33,196.1,30,0,0,1,282,102,71,24,2,11,184,66,0,164,11,.225,728,.299,.309,.608,0,7,1.000,25,2930,,225,,,2,2,,2.76,0,,2.89,196.1,16,6,0,0,0,0,63,1.17,809,589,30,3,1,1893,.650,11,1,11,0,.727,14.92,0,2.79,8.43,3.03,7.52,3.25,0.50,0,0,,
593576,Hector Neris,69,0,2,2,1,5,.800,0.06,0.56,64.2,69,1,0,1,42,68,29,13,1,3,79,17,0,49,6,.207,237,.277,.308,.585,1,3,.750,4,1005,,73,,,1,0,,0.62,0,,3.76,64.2,6,4,3,7,25,4,27,1.02,261,194,69,0,0,668,.660,6,1,6,0,.600,15.54,26,4.65,10.99,2.37,6.82,4.04,0.42,7,1,,
686613,Hunter Brown,5,2,1,1,0,2,1.000,0.40,1.06,17.0,5,0,0,0,22,9,2,3,1,0,17,6,0,14,0,.226,62,.294,.306,.600,1,1,.500,2,258,,19,,,0,0,,2.44,0,,1.06,17.0,2,0,0,0,1,0,2,1.18,68,51,5,0,0,177,.690,0,0,0,0,1.000,15.18,0,2.83,9.00,3.18,7.41,1.06,0.00,0,0,,
676694,Jake Meyers,47,41,0,116,2,118,.983,2.47,2.81,371.2,47,0,0,0,40,21,12,6,2,1,50,7,0,29,2,.209,139,.255,.302,.557,1,1,.500,1,590,149,42,14,57,0,1,.315,1.90,0,139.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
