,playername,gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,atBats,caughtStealing,stolenBases,groundIntoDoublePlay,plateAppearances,totalBases,leftOnBase,sacBunts,sacFlies,catchersInterference,avg,obp,slg,ops,rbi,groundOutsToAirouts,babip,difstrikeOutsbaseOnBalls,strikeOutsperplateAppearance,homeRunsperplateAppearance,hitsperplateAppearance,rbiperplateAppearance,baseOnBallsperplateAppearance,totalBasesperplateAppearance,difstrikeOutsbaseOnBallsperplateAppearance,avg_mean,avg_std,normalized_avg,avg_z_score,babip_mean,babip_std,normalized_babip,babip_z_score,obp_mean,obp_std,normalized_obp,obp_z_score,ops_mean,ops_std,normalized_ops,ops_z_score,hits_mean,hits_std,normalized_hits,hits_z_score,rbi_mean,rbi_std,normalized_rbi,rbi_z_score,baseOnBalls_mean,baseOnBalls_std,normalized_baseOnBalls,baseOnBalls_z_score,totalBases_mean,totalBases_std,normalized_totalBases,totalBases_z_score,difstrikeOutsbaseOnBalls_mean,difstrikeOutsbaseOnBalls_std,normalized_difstrikeOutsbaseOnBalls,difstrikeOutsbaseOnBalls_z_score
649557,Aledmys Diaz,7,77,103,35,13,0,12,53,18,0,74,2,305,1,1,7,327.0,123,122.0,0,2,0,0.243,0.287,0.403,0.69,38.0,0.75,0.256198347107438,35,0.1620795107033639,0.03669724770642202,0.22629969418960244,0.1162079510703364,0.05504587155963303,0.3761467889908257,0.10703363914373089,0.2410858895705522,0.03594292436645106,100.79395373692645,0.05325416512949147,0.28799214737611517,0.04327244430002328,88.96018500561588,-0.7347354831226872,0.30771165644171783,0.0387961949143451,93.2691349163626,-0.5338579334247959,0.6995521472392637,0.1039573840377786,98.63453392617538,-0.09188522131138363,91.23312883435582,46.50920134001194,81.11088696119965,-0.37053160101311255,46.668711656441715,26.623820953369663,81.4250032864467,-0.3255998330076117,33.147239263803684,19.86784520765868,54.303164908384225,-0.7623997019044979,149.29447852760737,80.33355866845125,82.38750770495172,-0.32731624197215836,53.6319018404908,32.086102729000665,65.25966598032487,-0.5806844788180074
608324,Alex Bregman,154,130,209,93,38,0,23,77,87,1,142,11,548,2,1,18,656.0,249,257.0,0,10,0,0.259,0.366,0.454,0.82,93.0,0.62,0.259825327510917,-10,0.1173780487804878,0.0350609756097561,0.21646341463414634,0.14176829268292682,0.1326219512195122,0.3795731707317073,-0.01524390243902439,0.2410858895705522,0.03594292436645106,107.43059266610682,0.4984043659555081,0.28799214737611517,0.04327244430002328,90.21958754020729,-0.6509181609873375,0.30771165644171783,0.0387961949143451,118.94252048567498,1.5024242374019452,0.6995521472392637,0.1039573840377786,117.2178519122664,1.158627199747205,91.23312883435582,46.50920134001194,155.64521552013989,1.0915446772458197,46.668711656441715,26.623820953369663,199.2769817273564,1.7402193481057922,33.147239263803684,19.86784520765868,262.4652970571904,2.7105486364186637,149.29447852760737,80.33355866845125,166.78446681734127,1.2411440887847682,53.6319018404908,32.086102729000665,-18.64561885152139,-1.9831608213040413
676801,Chas McCormick,1,83,83,47,12,2,14,106,46,0,88,1,359,3,4,5,407.0,146,129.0,0,1,0,0.245,0.332,0.407,0.739,44.0,1.00,0.30833333333333335,60,0.26044226044226043,0.0343980343980344,0.21621621621621623,0.10810810810810811,0.11302211302211303,0.35872235872235875,0.14742014742014742,0.2410858895705522,0.03594292436645106,101.62353360307401,0.10889794023274355,0.28799214737611517,0.04327244430002328,107.06310437369417,0.47007249731920586,0.30771165644171783,0.0387961949143451,107.8932153039456,0.6260496322360068,0.6995521472392637,0.1039573840377786,105.63901532093276,0.37946176816454635,91.23312883435582,46.50920134001194,96.45618989980498,-0.06951589666568533,46.668711656441715,26.623820953369663,94.28158275272776,-0.1002377405225131,33.147239263803684,19.86784520765868,138.7747547658708,0.6469126672701184,149.29447852760737,80.33355866845125,97.79330182864186,-0.04100999111970352,53.6319018404908,32.086102729000665,111.87371310912835,0.19846904478534466
543877,Christian Vazquez,35,30,30,8,3,0,1,18,4,0,26,0,104,2,0,3,108.0,32,39.0,0,0,0,0.25,0.278,0.308,0.586,10.0,1.00,0.29411764705882354,14,0.16666666666666666,0.009259259259259259,0.24074074074074073,0.09259259259259259,0.037037037037037035,0.2962962962962963,0.12962962962962962,0.2410858895705522,0.03594292436645106,103.69748326844285,0.24800737799087375,0.28799214737611517,0.04327244430002328,102.12696760606758,0.14155659061545256,0.30771165644171783,0.0387961949143451,90.34431883884602,-0.765839446556955,0.6995521472392637,0.1039573840377786,83.76787953730258,-1.0922951581582545,91.23312883435582,46.50920134001194,28.498419743124202,-1.4025854444900059,46.668711656441715,26.623820953369663,21.427632443801762,-1.377289597938072,33.147239263803684,19.86784520765868,12.067369979640938,-1.467055886491806,149.29447852760737,80.33355866845125,21.4341483460037,-1.4600931475188275,53.6319018404908,32.086102729000665,26.103866392129948,-1.2351734386448232
676694,Jake Meyers,52,40,23,13,6,2,1,54,7,0,34,2,150,1,2,1,160.0,47,57.0,0,1,0,0.227,0.269,0.313,0.582,15.0,1.74,0.34375,47,0.3375,0.00625,0.2125,0.09375,0.04375,0.29375,0.29375,0.2410858895705522,0.03594292436645106,94.15731480774613,-0.39189603569652437,0.28799214737611517,0.04327244430002328,119.36089338959148,1.2885302304001078,0.30771165644171783,0.0387961949143451,87.41950276132941,-0.9978209596891155,0.6995521472392637,0.1039573840377786,83.19608513773053,-1.1307724634215957,91.23312883435582,46.50920134001194,37.26716427947011,-1.2305764705771902,46.668711656441715,26.623820953369663,32.14144866570264,-1.1894878542004896,33.147239263803684,19.86784520765868,21.117897464371644,-1.3160581326516687,149.29447852760737,80.33355866845125,31.48140538319293,-1.2733716795715744,53.6319018404908,32.086102729000665,87.63440860215054,-0.20669078748839845
665161,Jeremy Pena,134,141,119,72,20,2,22,135,22,0,132,6,521,2,11,5,558.0,222,199.0,1,5,3,0.253,0.289,0.426,0.715,63.0,1.18,0.2981029810298103,113,0.24193548387096775,0.03942652329749104,0.23655913978494625,0.11290322580645161,0.03942652329749104,0.3978494623655914,0.2025089605734767,0.2410858895705522,0.03594292436645106,104.9418530676642,0.33147304064575184,0.28799214737611517,0.04327244430002328,103.51080185547228,0.23365524682620484,0.30771165644171783,0.0387961949143451,93.91909404469962,-0.4823064860620936,0.6995521472392637,0.1039573840377786,102.20824892350058,0.14859793658449902,91.23312883435582,46.50920134001194,144.6842848497075,0.8765334598548001,46.668711656441715,26.623820953369663,134.99408439595112,0.6134088856802992,33.147239263803684,19.86784520765868,66.37053488802516,-0.5610693634509812,149.29447852760737,80.33355866845125,148.69940415040065,0.9050454464797124,53.6319018404908,32.086102729000665,210.69549302219173,1.850274514824451
514888,Jose Altuve,141,133,150,103,39,0,28,87,66,2,158,10,527,1,18,13,604.0,281,132.0,0,1,0,0.3,0.387,0.533,0.92,57.0,0.89,0.31476997578692495,21,0.14403973509933773,0.046357615894039736,0.26158940397350994,0.09437086092715231,0.10927152317880795,0.4652317880794702,0.0347682119205298,0.2410858895705522,0.03594292436645106,124.43697992213143,1.639101755572174,0.28799214737611517,0.04327244430002328,109.29811060988345,0.6188194090712683,0.30771165644171783,0.0387961949143451,125.76709133321368,2.0437144347103198,0.6995521472392637,0.1039573840377786,131.5127119015672,2.120559831330736,91.23312883435582,46.50920134001194,173.1827045928317,1.4355626250714508,46.668711656441715,26.623820953369663,122.13750492967004,0.3880467931952006,33.147239263803684,19.86784520765868,199.1116046640755,1.6535643595377016,149.29447852760737,80.33355866845125,188.21861516334496,1.639483220405575,53.6319018404908,32.086102729000665,39.155799588194924,-1.0170104520358847
663656,Kyle Tucker,150,128,183,71,28,1,30,95,59,4,140,1,544,4,25,11,609.0,260,246.0,0,2,3,0.257,0.33,0.478,0.808,107.0,0.70,0.26128266033254155,36,0.15599343185550082,0.04926108374384237,0.22988505747126436,0.17569786535303777,0.09688013136288999,0.4269293924466338,0.059113300492610835,0.2410858895705522,0.03594292436645106,106.60101279995926,0.442760590852256,0.28799214737611517,0.04327244430002328,90.72561967854934,-0.6172400814335153,0.30771165644171783,0.0387961949143451,107.24325617560856,0.5744981848733045,0.6995521472392637,0.1039573840377786,115.50246871355031,1.0431952839571825,91.23312883435582,46.50920134001194,153.4530293860534,1.0485424337676157,46.668711656441715,26.623820953369663,229.27566714867885,2.2660642305710224,33.147239263803684,19.86784520765868,177.99370719970383,1.3012362672440474,149.29447852760737,80.33355866845125,174.15245531128005,1.3780731652794205,53.6319018404908,32.086102729000665,67.12422786547701,-0.5495183378738734
671277,Luis Garcia,93,113,69,29,23,2,7,84,11,1,99,1,360,4,3,5,377.0,147,148.0,1,4,0,0.275,0.295,0.408,0.703,45.0,1.64,0.336996336996337,73,0.22281167108753316,0.01856763925729443,0.2625994694960212,0.11936339522546419,0.029177718832891247,0.38992042440318303,0.19363395225464192,0.2410858895705522,0.03594292436645106,114.06723159528715,0.9435545667815247,0.28799214737611517,0.04327244430002328,117.01580757208036,1.132457165591533,0.30771165644171783,0.0387961949143451,95.8689714297107,-0.32765214397398656,0.6995521472392637,0.1039573840377786,100.49286572478448,0.03316602079447535,91.23312883435582,46.50920134001194,108.51321363728061,0.16699644246443604,46.668711656441715,26.623820953369663,96.42434599710793,-0.06267739177499665,33.147239263803684,19.86784520765868,33.18526744401258,-1.114727794198152,149.29447852760737,80.33355866845125,98.4631189644545,-0.02856189325655331,53.6319018404908,32.086102729000665,136.11301761610613,0.6036288770590877
455117,Martin Maldonado,113,86,84,40,12,0,15,116,22,0,64,7,344,0,0,6,379.0,121,170.0,4,2,0,0.186,0.248,0.352,0.6,45.0,1.02,0.22790697674418606,94,0.30606860158311344,0.0395778364116095,0.16886543535620052,0.11873350923482849,0.05804749340369393,0.31926121372031663,0.24802110817941952,0.2410858895705522,0.03594292436645106,77.1509275517215,-1.5325934253131912,0.28799214737611517,0.04327244430002328,79.13652466591097,-1.3885319307441293,0.30771165644171783,0.0387961949143451,80.59493191379069,-1.5391111569974902,0.6995521472392637,0.1039573840377786,85.76915993580468,-0.9576245897365602,91.23312883435582,46.50920134001194,70.14995629076726,-0.585542818404132,46.668711656441715,26.623820953369663,96.42434599710793,-0.06267739177499665,33.147239263803684,19.86784520765868,66.37053488802516,-0.5610693634509812,149.29447852760737,80.33355866845125,81.04787343332647,-0.3522124376984588,53.6319018404908,32.086102729000665,175.2688172043011,1.2581178368859036
