,playername,gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,atBats,caughtStealing,stolenBases,groundIntoDoublePlay,plateAppearances,totalBases,leftOnBase,sacBunts,sacFlies,catchersInterference,avg,obp,slg,ops,rbi,groundOutsToAirouts,strikeOutsperplateAppearance,homeRunsperplateAppearance,babip,normalized_avg,normalized_ops
605131,Austin Barnes,4.0,43.0,36.0,22.0,4.0,0.0,6.0,25.0,19.0,0.0,24.0,3.0,127.0,5.0,14.0,5.0,150.0,46.0,66.0,0.0,1.0,0.0,0.189,0.307,0.362,0.669,20.0,1.19,0.16666666666666666,0.04,0.18556701030927836,76.86447473937451,92.67193444541996
621035,Chris Taylor,3.0,43.0,73.0,38.0,22.0,3.0,8.0,128.0,35.0,2.0,71.0,2.0,312.0,1.0,8.0,4.0,352.0,123.0,162.0,0.0,3.0,0.0,0.228,0.307,0.394,0.701,32.0,0.59,0.36363636363636365,0.022727272727272728,0.35195530726256985,92.72539809829306,97.10467271485709
641355,Cody Bellinger,113.0,83.0,126.0,58.0,22.0,3.0,17.0,121.0,31.0,0.0,85.0,2.0,411.0,2.0,11.0,7.0,448.0,164.0,200.0,0.0,4.0,0.0,0.207,0.263,0.399,0.662,54.0,0.66,0.2700892857142857,0.03794642857142857,0.24548736462093862,84.18490090502921,91.7022729489806
518692,Freddie Freeman,125.0,110.0,144.0,89.0,42.0,2.0,16.0,82.0,58.0,7.0,159.0,5.0,489.0,2.0,10.0,4.0,558.0,253.0,166.0,0.0,6.0,0.0,0.325,0.398,0.517,0.915,80.0,0.76,0.14695340501792115,0.02867383512544803,0.3602015113350126,132.17436132432127,126.7486098917179
666158,Gavin Lux,28.0,98.0,78.0,60.0,18.0,7.0,6.0,75.0,44.0,0.0,105.0,0.0,353.0,2.0,7.0,1.0,400.0,155.0,160.0,0.0,3.0,0.0,0.297,0.373,0.439,0.812,39.0,1.26,0.1875,0.015,0.36,120.78703173330278,112.48073358696715
608336,Joey Gallo,1.0,29.0,61.0,32.0,4.0,1.0,12.0,106.0,40.0,0.0,37.0,0.0,233.0,0.0,2.0,0.0,273.0,79.0,122.0,0.0,0.0,0.0,0.159,0.282,0.339,0.621,24.0,0.48,0.3882783882783883,0.04395604395604396,0.21739130434782608,64.66376446328331,86.02282704126426
457759,Justin Turner,47.0,82.0,127.0,47.0,26.0,0.0,9.0,71.0,39.0,1.0,97.0,5.0,370.0,0.0,3.0,12.0,421.0,150.0,159.0,0.0,7.0,0.0,0.262,0.335,0.405,0.74,64.0,0.65,0.16864608076009502,0.021377672209026127,0.2962962962962963,106.55286974452976,102.50707248073358
571970,Max Muncy,17.0,67.0,116.0,51.0,16.0,1.0,16.0,108.0,71.0,1.0,65.0,2.0,350.0,0.0,2.0,2.0,429.0,131.0,174.0,0.0,6.0,0.0,0.186,0.322,0.374,0.696,51.0,0.58,0.2517482517482518,0.037296037296037296,0.21120689655172414,75.64440371176538,96.41205736025753
605141,Mookie Betts,106.0,101.0,141.0,98.0,27.0,2.0,30.0,81.0,43.0,0.0,123.0,6.0,443.0,1.0,12.0,8.0,495.0,244.0,160.0,0.0,3.0,0.0,0.278,0.347,0.551,0.898,67.0,0.72,0.16363636363636364,0.06060606060606061,0.27761194029850744,113.05991522511172,124.39371768607943
607208,Trea Turner,125.0,123.0,133.0,81.0,33.0,2.0,18.0,100.0,35.0,1.0,159.0,2.0,509.0,2.0,20.0,9.0,554.0,250.0,207.0,0.0,6.0,2.0,0.312,0.355,0.491,0.846,86.0,0.92,0.18050541516245489,0.032490974729241874,0.35516372795969775,126.8873868713484,117.19051799824408
669257,Will Smith,18.0,80.0,138.0,54.0,22.0,1.0,18.0,73.0,48.0,2.0,106.0,7.0,393.0,9.0,38.0,8.0,452.0,184.0,186.0,0.0,4.0,0.0,0.27,0.356,0.468,0.824,73.0,0.58,0.16150442477876106,0.03982300884955752,0.2875816993464052,109.80639248482073,114.14301043800606
543592,Austin Nola,6.0,71.0,93.0,32.0,11.0,0.0,3.0,51.0,30.0,1.0,70.0,5.0,277.0,5.0,49.0,3.0,320.0,90.0,120.0,0.0,8.0,2.0,0.253,0.328,0.325,0.653,32.0,0.76,0.159375,0.009375,0.29004329004329005,102.89265666170238,90.4555653107014
673490,Ha-Seong Kim,99.0,99.0,122.0,45.0,24.0,3.0,7.0,78.0,41.0,0.0,103.0,5.0,398.0,2.0,9.0,8.0,448.0,154.0,163.0,1.0,3.0,0.0,0.259,0.333,0.387,0.72,49.0,0.81,0.17410714285714285,0.015625,0.3037974683544304,105.33279871692062,99.73661106233538
630105,Jake Cronenworth,2.0,92.0,159.0,74.0,24.0,3.0,13.0,107.0,59.0,3.0,112.0,15.0,465.0,0.0,2.0,1.0,547.0,181.0,178.0,0.0,5.0,3.0,0.241,0.342,0.389,0.731,66.0,0.58,0.1956124314442413,0.02376599634369287,0.28285714285714286,98.0123725512659,101.2603648424544
640492,Jose Azocar,3.0,39.0,35.0,17.0,6.0,3.0,0.0,32.0,9.0,0.0,37.0,0.0,142.0,5.0,4.0,4.0,152.0,49.0,71.0,0.0,1.0,0.0,0.261,0.303,0.345,0.648,8.0,1.11,0.21052631578947367,0.0,0.3333333333333333,106.14617940199338,89.76294995610186
595777,Jurickson Profar,4.0,130.0,137.0,68.0,27.0,2.0,12.0,80.0,64.0,0.0,110.0,4.0,453.0,1.0,5.0,10.0,525.0,177.0,175.0,2.0,2.0,0.0,0.243,0.34,0.391,0.731,48.0,0.95,0.1523809523809524,0.022857142857142857,0.2699724517906336,98.82575323633866,101.2603648424544
671277,Luis Garcia,59.0,74.0,48.0,18.0,13.0,2.0,4.0,50.0,4.0,0.0,68.0,1.0,236.0,4.0,2.0,3.0,245.0,97.0,101.0,1.0,3.0,0.0,0.288,0.299,0.411,0.71,26.0,1.54,0.20408163265306123,0.0163265306122449,0.34594594594594597,117.12681865047543,98.35138035313629
592518,Manny Machado,13.0,100.0,118.0,78.0,31.0,1.0,22.0,99.0,51.0,8.0,134.0,1.0,449.0,1.0,7.0,11.0,503.0,233.0,200.0,0.0,2.0,0.0,0.298,0.37,0.519,0.889,77.0,0.85,0.19681908548707752,0.0437375745526839,0.3393939393939394,121.19372207583916,123.14701004780022
663757,Trent Grisham,121.0,106.0,99.0,50.0,15.0,2.0,15.0,118.0,53.0,1.0,75.0,5.0,389.0,0.0,5.0,3.0,456.0,139.0,168.0,7.0,2.0,0.0,0.193,0.296,0.357,0.653,47.0,1.07,0.25877192982456143,0.03289473684210526,0.23255813953488372,78.49123610952,90.4555653107014
596103,Austin Slater,1.0,64.0,37.0,41.0,12.0,2.0,5.0,74.0,36.0,0.0,62.0,5.0,235.0,0.0,11.0,6.0,278.0,93.0,95.0,0.0,2.0,0.0,0.264,0.371,0.396,0.767,29.0,1.73,0.26618705035971224,0.017985611510791366,0.36075949367088606,107.36625042960249,106.24719539557117
543063,Brandon Crawford,87.0,83.0,85.0,36.0,13.0,2.0,7.0,74.0,29.0,3.0,67.0,8.0,307.0,1.0,1.0,9.0,346.0,105.0,152.0,0.0,2.0,0.0,0.218,0.301,0.342,0.643,40.0,0.98,0.2138728323699422,0.02023121387283237,0.2631578947368421,88.65849467292932,89.0703346015023
446334,Evan Longoria,12.0,36.0,49.0,28.0,8.0,0.0,12.0,59.0,22.0,1.0,48.0,2.0,190.0,0.0,0.0,5.0,216.0,92.0,88.0,0.0,2.0,0.0,0.253,0.333,0.484,0.817,28.0,0.73,0.27314814814814814,0.05555555555555555,0.2975206611570248,102.89265666170238,113.17334894156667
