,playername,gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,atBats,caughtStealing,stolenBases,groundIntoDoublePlay,plateAppearances,totalBases,leftOnBase,sacBunts,sacFlies,catchersInterference,avg,obp,slg,ops,rbi,groundOutsToAirouts,strikeOutsperplateAppearance,homeRunsperplateAppearance,hitsperplateAppearance,babip,avg_mean,avg_std,normalized_avg,avg_z_score,babip_mean,babip_std,normalized_babip,babip_z_score,ops_mean,ops_std,normalized_ops,ops_z_score,hits_mean,hits_std,normalized_hits,hits_z_score,rbi_mean,rbi_std,normalized_rbi,rbi_z_score
605131,Austin Barnes,4.0,46.0,38.0,23.0,4.0,0.0,6.0,25.0,20.0,0.0,26.0,3.0,134.0,6.0,14.0,5.0,158.0,48.0,69.0,0.0,1.0,0.0,0.194,0.31,0.358,0.668,22.0,1.21,0.15822784810126583,0.0379746835443038,0.16455696202531644,0.19230769230769232,0.2446149068322981,0.0357671396172173,79.30833100576392,-1.41512313743796,0.29276622920335077,0.042730029510946343,65.6864327661639,-2.3510055585129783,0.7162298136645961,0.09940235462799693,93.26615385949549,-0.4851978994370025,76.5776397515528,36.73428911649727,33.9524697866818,-1.3768509196177288,39.3416149068323,22.267719233809654,55.920429428481214,-0.7787782271164114
621035,Chris Taylor,3.0,44.0,75.0,38.0,23.0,3.0,8.0,133.0,39.0,2.0,72.0,3.0,321.0,1.0,8.0,4.0,366.0,125.0,166.0,0.0,3.0,0.0,0.224,0.311,0.389,0.7,34.0,0.59,0.3633879781420765,0.02185792349726776,0.19672131147540983,0.34972677595628415,0.2446149068322981,0.0357671396172173,91.57250590356246,-0.5763644242430465,0.29276622920335077,0.042730029510946343,119.45598264797457,1.333033171398619,0.7162298136645961,0.09940235462799693,97.73399356533956,-0.16327393576675922,76.5776397515528,36.73428911649727,94.0222240246573,-0.12461489963874076,39.3416149068323,22.267719233809654,86.42248184401642,-0.23988154560175998
641355,Cody Bellinger,117.0,86.0,130.0,59.0,22.0,3.0,17.0,127.0,32.0,0.0,86.0,2.0,425.0,2.0,11.0,7.0,463.0,165.0,211.0,0.0,4.0,0.0,0.202,0.259,0.388,0.647,54.0,0.66,0.27429805615550756,0.0367170626349892,0.1857451403887689,0.24210526315789474,0.2446149068322981,0.0357671396172173,82.57877764517687,-1.1914541472526496,0.29276622920335077,0.042730029510946343,82.69576167192845,-1.1856056882075867,0.7162298136645961,0.09940235462799693,90.33413405253529,-0.6964605005956003,76.5776397515528,36.73428911649727,112.30432314056291,0.2565004107896469,39.3416149068323,22.267719233809654,137.25923586990842,0.6582795902559925
518692,Freddie Freeman,131.0,119.0,149.0,93.0,43.0,2.0,16.0,86.0,60.0,7.0,165.0,5.0,513.0,2.0,11.0,5.0,584.0,260.0,174.0,0.0,6.0,0.0,0.322,0.394,0.507,0.901,81.0,0.80,0.14726027397260275,0.0273972602739726,0.2825342465753425,0.35731414868105515,0.2446149068322981,0.0357671396172173,131.63547723637103,2.163580705527005,0.29276622920335077,0.042730029510946343,122.04759737943355,1.5105985232509342,0.7162298136645961,0.09940235462799693,125.79761171767278,1.8588109610369619,76.5776397515528,36.73428911649727,215.467596723173,2.4070796624926913,39.3416149068323,22.267719233809654,205.88885380486266,1.8707971236639582
666158,Gavin Lux,28.0,105.0,80.0,62.0,18.0,7.0,6.0,79.0,46.0,0.0,108.0,0.0,369.0,2.0,7.0,3.0,418.0,158.0,173.0,0.0,3.0,0.0,0.293,0.368,0.428,0.796,42.0,1.31,0.18899521531100477,0.014354066985645933,0.2583732057416268,0.3554006968641115,0.2446149068322981,0.0357671396172173,119.78010816849911,1.3527806161052542,0.29276622920335077,0.042730029510946343,121.39402069398375,1.4658184976145499,0.7162298136645961,0.09940235462799693,111.13751268287186,0.8024979552439738,76.5776397515528,36.73428911649727,141.033336036986,0.8553958986056847,39.3416149068323,22.267719233809654,106.75718345437322,0.11938290874134101
608336,Joey Gallo,1.0,29.0,61.0,32.0,4.0,1.0,12.0,106.0,40.0,0.0,37.0,0.0,233.0,0.0,2.0,0.0,273.0,79.0,122.0,0.0,0.0,0.0,0.159,0.282,0.339,0.621,24.0,0.48,0.3882783882783883,0.04395604395604396,0.13553113553113552,0.21739130434782608,0.2446149068322981,0.0357671396172173,65.00012695833229,-2.3936749694986927,0.29276622920335077,0.042730029510946343,74.25422834435919,-1.7639801731523626,0.7162298136645961,0.09940235462799693,86.70401429153696,-0.9580237210776739,76.5776397515528,36.73428911649727,48.31697623489334,-1.0774031757097098,39.3416149068323,22.267719233809654,61.004104831070414,-0.6889621135306362
457759,Justin Turner,48.0,82.0,135.0,49.0,31.0,0.0,9.0,72.0,41.0,1.0,106.0,5.0,387.0,0.0,3.0,12.0,441.0,164.0,164.0,0.0,8.0,0.0,0.274,0.345,0.424,0.769,67.0,0.61,0.16326530612244897,0.02040816326530612,0.24036281179138322,0.3089171974522293,0.2446149068322981,0.0357671396172173,112.01279739989339,0.8215667644151434,0.29276622920335077,0.042730029510946343,105.51667734793972,0.37797699729510015,0.7162298136645961,0.09940235462799693,107.3677729310659,0.5308746108972051,76.5776397515528,36.73428911649727,138.4216075918566,0.8009508542587721,39.3416149068323,22.267719233809654,170.30312598673825,1.2420843285635317
571970,Max Muncy,21.0,72.0,123.0,54.0,16.0,1.0,16.0,115.0,74.0,1.0,69.0,2.0,373.0,0.0,2.0,2.0,455.0,135.0,180.0,0.0,6.0,0.0,0.185,0.319,0.362,0.681,51.0,0.59,0.25274725274725274,0.035164835164835165,0.15164835164835164,0.21370967741935484,0.2446149068322981,0.0357671396172173,75.62907853642436,-1.6667507513964344,0.29276622920335077,0.042730029510946343,72.99669705788214,-1.8501403506810978,0.7162298136645961,0.09940235462799693,95.08121373999465,-0.3544162891959657,76.5776397515528,36.73428911649727,90.10463135696327,-0.20628246615910956,39.3416149068323,22.267719233809654,129.63372276602462,0.5235554198773297
605141,Mookie Betts,112.0,104.0,148.0,101.0,29.0,2.0,32.0,85.0,45.0,0.0,129.0,6.0,463.0,1.0,12.0,8.0,517.0,258.0,163.0,0.0,3.0,0.0,0.279,0.348,0.557,0.905,70.0,0.70,0.1644100580270793,0.061895551257253385,0.2495164410058027,0.27793696275071633,0.2446149068322981,0.0357671396172173,114.05682654952646,0.9613598832809624,0.29276622920335077,0.042730029510946343,94.93477560817499,-0.34704554671172316,0.7162298136645961,0.09940235462799693,126.35609168090332,1.8990514564957424,76.5776397515528,36.73428911649727,168.45648471084436,1.427068864248266,39.3416149068323,22.267719233809654,177.92863909062206,1.3768084989421945
607208,Trea Turner,130.0,129.0,139.0,82.0,33.0,2.0,18.0,105.0,37.0,1.0,162.0,3.0,529.0,2.0,22.0,9.0,577.0,253.0,218.0,0.0,6.0,2.0,0.306,0.351,0.478,0.829,86.0,0.93,0.18197573656845753,0.03119584055459272,0.2807625649913345,0.34951456310679613,0.2446149068322981,0.0357671396172173,125.09458395754514,1.7162427251563839,0.29276622920335077,0.042730029510946343,119.3834972216105,1.3280668081192848,0.7162298136645961,0.09940235462799693,115.74497237952357,1.1344820427789122,76.5776397515528,36.73428911649727,211.55000405547898,2.3254120959723226,39.3416149068323,22.267719233809654,218.59804231133566,2.0953374076283966
