,playername,gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,atBats,caughtStealing,stolenBases,groundIntoDoublePlay,plateAppearances,totalBases,leftOnBase,sacBunts,sacFlies,catchersInterference,avg,obp,slg,ops,rbi,groundOutsToAirouts,strikeOutsperplateAppearance,homeRunsperplateAppearance,hitsperplateAppearance,rbiperplateAppearance,babip,avg_mean,avg_std,normalized_avg,avg_z_score,babip_mean,babip_std,normalized_babip,babip_z_score,ops_mean,ops_std,normalized_ops,ops_z_score,hits_mean,hits_std,normalized_hits,hits_z_score,rbi_mean,rbi_std,normalized_rbi,rbi_z_score
605131,Austin Barnes,4,48,38,27,5,0,7,27,21,0,32,3,144,6,15,5,169.0,58,73.0,0,1,0,0.222,0.331,0.403,0.734,23.0,1.26,0.15976331360946747,0.04142011834319527,0.1893491124260355,0.13609467455621302,0.22522522522522523,0.24522500000000003,0.035177170627174285,90.52910592313181,-0.6602293358425695,0.294652673484853,0.03995439588894287,76.43752984199656,-1.7376673258333863,0.7160625,0.09848702545203575,102.50501876582001,0.1821305894626262,77.7625,38.44517250979863,41.15094036328564,-1.1903315036065032,39.90625,23.763191470590066,57.63508222396241,-0.7114469460435736
621035,Chris Taylor,3,46,83,39,23,3,8,139,40,2,74,4,339,1,9,4,386.0,127,174.0,0,3,0,0.218,0.306,0.375,0.681,34.0,0.55,0.3601036269430052,0.02072538860103627,0.19170984455958548,0.08808290155440414,0.3384615384615385,0.24522500000000003,0.035177170627174285,88.89795086145375,-0.7739394475054447,0.294652673484853,0.03995439588894287,114.86796792255731,1.0964717148635275,0.7160625,0.09848702545203575,95.10343021733438,-0.3560113612840893,77.7625,38.44517250979863,95.16154959009805,-0.09786664369996112,39.90625,23.763191470590066,85.19968676585748,-0.24854616044775493
641355,Cody Bellinger,122,89,133,61,22,3,17,132,36,0,86,2,436,2,12,7,478.0,165,216.0,0,4,0,0.197,0.259,0.378,0.637,55.0,0.67,0.27615062761506276,0.03556485355648536,0.1799163179916318,0.11506276150627615,0.23711340206185566,0.24522500000000003,0.035177170627174285,80.334386787644,-1.370917533735539,0.294652673484853,0.03995439588894287,80.47217059241947,-1.4401236745747168,0.7160625,0.09848702545203575,88.95871519595006,-0.8027707166209861,77.7625,38.44517250979863,110.59315222633018,0.21426617341619372,39.90625,23.763191470590066,137.82302270947534,0.6351735211442626
518692,Freddie Freeman,137,122,157,101,44,2,18,89,64,7,174,5,535,2,11,5,611.0,276,184.0,0,7,0,0.325,0.398,0.516,0.914,86.0,0.78,0.14566284779050737,0.029459901800327332,0.28477905073649756,0.1407528641571195,0.3586206896551724,0.24522500000000003,0.035177170627174285,132.5313487613416,2.267806039476466,0.294652673484853,0.03995439588894287,121.70963372358736,1.6010257381471795,0.7160625,0.09848702545203575,127.64248930784672,2.009782497659021,77.7625,38.44517250979863,223.7582382253657,2.5032401656013294,39.90625,23.763191470590066,215.50509005481598,1.939712098732479
666158,Gavin Lux,28,105,80,62,18,7,6,79,46,0,108,0,369,2,7,3,418.0,158,173.0,0,3,0,0.293,0.368,0.428,0.796,42.0,1.31,0.18899521531100477,0.014354066985645933,0.2583732057416268,0.10047846889952153,0.3554006968641115,0.24522500000000003,0.035177170627174285,119.48210826791721,1.3581251461734638,0.294652673484853,0.03995439588894287,120.61682409353102,1.5204340355467654,0.7160625,0.09848702545203575,111.163480841407,0.8116551356191626,77.7625,38.44517250979863,138.88442372608904,0.7865096714624776,39.90625,23.763191470590066,105.2466718872357,0.08810895634920413
593643,Hanser Alberto,5,45,35,12,8,2,2,23,2,0,32,0,135,1,0,4,137.0,50,72.0,0,0,0,0.237,0.248,0.37,0.618,14.0,1.29,0.1678832116788321,0.014598540145985401,0.23357664233576642,0.10218978102189781,0.2727272727272727,0.24522500000000003,0.035177170627174285,96.6459374044245,-0.2338164171067881,0.294652673484853,0.03995439588894287,92.55889977230855,-0.5487606624944125,0.7160625,0.09848702545203575,86.30531552762503,-0.9956895291528279,77.7625,38.44517250979863,41.15094036328564,-1.1903315036065032,39.90625,23.763191470590066,35.0822239624119,-1.0901839524401526
608336,Joey Gallo,1,29,61,32,4,1,12,106,40,0,37,0,233,0,2,0,273.0,79,122.0,0,0,0,0.159,0.282,0.339,0.621,24.0,0.48,0.3882783882783883,0.04395604395604396,0.13553113553113552,0.08791208791208792,0.21739130434782608,0.24522500000000003,0.035177170627174285,64.8384137017025,-2.4511635945328534,0.294652673484853,0.03995439588894287,73.77883315184016,-1.9337388895024827,0.7160625,0.09848702545203575,86.72427336999213,-0.9652286640162213,77.7625,38.44517250979863,47.580774795049024,-1.0602761631414386,39.90625,23.763191470590066,60.1409553641347,-0.6693650564439537
457759,Justin Turner,50,84,140,54,32,0,11,76,44,1,112,5,404,0,3,12,461.0,177,172.0,0,8,0,0.277,0.349,0.438,0.787,73.0,0.60,0.1648590021691974,0.02386117136659436,0.24295010845986983,0.15835140997830802,0.31076923076923074,0.24522500000000003,0.035177170627174285,112.95748802120502,0.9032846995219644,0.294652673484853,0.03995439588894287,105.46967963798441,0.4033738197212457,0.7160625,0.09848702545203575,109.90660731430566,0.7202725402093428,77.7625,38.44517250979863,144.02829127149977,0.8905539438345292,39.90625,23.763191470590066,182.92873923257636,1.3926475339374205
571970,Max Muncy,22,74,124,60,17,1,19,122,74,1,77,2,391,0,2,2,473.0,153,183.0,0,6,0,0.197,0.323,0.391,0.714,57.0,0.60,0.25792811839323465,0.040169133192389,0.16279069767441862,0.12050739957716702,0.2265625,0.24522500000000003,0.035177170627174285,80.334386787644,-1.370917533735539,0.294652673484853,0.03995439588894287,76.89137767543342,-1.7041972971914352,0.7160625,0.09848702545203575,99.7119664833726,-0.020941844781417814,77.7625,38.44517250979863,99.01945024915608,-0.019833439420922413,39.90625,23.763191470590066,142.83476898981988,0.7193373003435024
605141,Mookie Betts,116,109,159,106,32,3,33,87,48,0,135,7,486,1,12,8,545.0,272,171.0,0,4,0,0.278,0.349,0.56,0.909,74.0,0.69,0.1596330275229358,0.060550458715596334,0.24770642201834864,0.13577981651376148,0.2756756756756757,0.24522500000000003,0.035177170627174285,113.36527678662453,0.9317122274376832,0.294652673484853,0.03995439588894287,93.55953652660381,-0.4749664558044062,0.7160625,0.09848702545203575,126.94422623723487,1.95901438909801,77.7625,38.44517250979863,173.6055296576113,1.488808509973826,39.90625,23.763191470590066,185.43461237274863,1.4347294235370405
