,playername,gamesPlayed,gamesStarted,assists,putOuts,errors,chances,fielding,rangeFactorPerGame,rangeFactorPer9Inn,innings,games,doublePlays,triplePlays,throwingErrors,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,era,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,whip,battersFaced,outs,gamesPitched,completeGames,shutouts,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,totalBases,groundOutsToAirouts,winPercentage,pitchesPerInning,gamesFinished,strikeoutWalkRatio,strikeoutsPer9Inn,walksPer9Inn,hitsPer9Inn,runsScoredPer9,homeRunsPer9,inheritedRunners,inheritedRunnersScored,catchersInterference,sacBunts,sacFlies,plateAppearances,rbi,leftOnBase,babip,atBatsPerHomeRun,passedBall,catcherERA
681911,Alex Vesia,62,0,4,1,2,7,.714,0.08,0.85,53.1,62,0,0,2,30,54,14,5,0,2,77,24,1,36,2,.186,194,.281,.242,.523,1,3,.750,1,938,2.19,53.1,5,0,1,3,16,2,13,1.13,223,160,62,0,0,603,.640,2,0,2,0,47,0.56,1.000,17.59,6,3.21,12.99,4.05,6.08,2.36,0.34,27,7,0,2,1,,,,,,,
656578,Andre Jackson,3,0,0,0,0,0,.000,0.00,0.00,5.2,3,0,0,0,4,7,1,0,0,0,6,2,0,5,0,.227,22,.292,.227,.519,0,0,.---,0,99,0.00,5.2,0,0,1,1,1,0,0,1.24,24,17,3,0,0,67,.680,0,0,0,0,5,0.57,.---,17.47,2,3.00,9.53,3.18,7.94,1.59,0.00,0,0,0,0,0,,,,,,,
571760,Andrew Heaney,15,14,2,2,1,5,.800,0.27,0.53,68.2,15,0,0,1,41,66,31,15,1,13,103,19,0,55,9,.209,263,.284,.422,.706,1,0,.000,1,1168,2.88,68.2,4,3,0,0,0,0,22,1.08,293,206,15,0,0,777,.670,9,0,0,0,111,0.62,.571,17.01,0,5.42,13.50,2.49,7.21,4.06,1.70,0,0,0,1,1,,,,,,,
605131,Austin Barnes,4,0,0,0,0,0,.000,0.00,-.--,0.0,4,0,0,0,54,52,31,6,0,8,35,26,0,38,3,.216,176,.325,.386,.711,9,21,.700,5,829,,,,,,,,,,,,,,,,,,,,10,0,68,1.04,,,,,,,,,,,,0,2,1,208,26,87,.224,22.00,2,3.16
660813,Brusdar Graterol,45,1,10,13,0,23,1.000,0.51,4.31,48.2,45,0,0,0,71,28,19,8,1,3,43,10,1,37,3,.210,176,.260,.318,.578,0,1,1.000,5,659,3.14,48.2,2,3,4,5,10,1,17,0.97,192,146,45,0,0,473,.720,3,0,0,0,56,2.54,.400,13.54,11,4.30,7.95,1.85,6.84,3.51,0.55,24,8,0,0,3,,,,,,,
657571,Caleb Ferguson,35,1,2,0,0,2,1.000,0.06,0.55,33.0,35,0,0,0,27,34,9,8,0,1,34,15,0,21,1,.181,116,.280,.276,.556,1,1,.500,3,532,1.91,33.0,1,0,0,0,8,0,7,1.09,132,99,35,0,0,346,.650,1,0,0,1,32,0.79,1.000,16.12,2,2.27,9.27,4.09,5.73,2.45,0.27,3,0,0,0,0,,,,,,,
455119,Chris Martin,24,0,3,2,0,5,1.000,0.21,1.96,23.1,24,0,0,0,18,25,4,2,0,1,31,1,0,12,1,.141,85,.159,.200,.359,0,1,1.000,0,331,1.54,23.1,3,1,2,3,2,1,4,0.56,88,70,24,0,0,246,.740,1,0,1,0,17,0.72,.750,14.19,2,31.00,11.96,0.39,4.63,1.54,0.39,13,1,0,0,1,0,0,0,.---,-.--,,
621035,Chris Taylor,118,5,0,0,0,0,.000,0.00,-.--,0.0,5,0,0,0,56,100,45,25,3,10,160,44,2,89,5,.221,402,.304,.373,.677,1,10,.909,4,1980,,,,,,,,,,,,,,,,,,,,,,150,0.56,,,,,,,,,,,,0,0,3,454,43,212,.336,40.20,,
477132,Clayton Kershaw,21,21,10,3,2,15,.867,0.62,0.97,121.1,21,0,0,2,120,109,35,16,1,9,128,22,0,95,2,.212,449,.251,.312,.563,2,3,.600,8,1770,2.30,121.1,11,3,0,0,0,0,31,0.96,476,364,21,0,0,1197,.680,2,1,0,2,140,1.10,.786,14.59,0,5.82,9.49,1.63,7.05,2.60,0.67,0,0,0,1,2,,,,,,,
641355,Cody Bellinger,141,132,2,315,3,320,.991,2.25,2.40,1188.1,141,0,0,1,98,153,69,27,3,18,145,38,0,102,2,.207,492,.264,.384,.648,3,14,.824,7,2248,,,,,,,,,,,,,,,,,,,,,,189,0.64,,,,,,,,,,,,0,0,6,538,66,229,.251,27.33,,
