,name,div_rank,w,l,gb,wc_rank,wc_gb,wc_elim_num,elim_num,team_id,league_rank,sport_rank
0,Los Angeles Dodgers,1,110,48,-,-,-,-,-,119,1,1
1,San Diego Padres,2,87,71,23.0,2,+2.0,-,E,135,5,5
2,San Francisco Giants,3,79,79,31.0,5,6.0,E,E,137,8,8
3,Arizona Diamondbacks,4,73,85,37.0,6,12.0,E,E,109,9,9
4,Colorado Rockies,5,65,93,45.0,9,20.0,E,E,115,12,12
0,Atlanta Braves,1,99,59,-,-,-,-,-,144,2,2
1,New York Mets,2,98,60,1.0,1,+13.0,-,4,121,3,3
2,Philadelphia Phillies,3,85,73,14.0,3,-,-,E,143,6,6
3,Miami Marlins,4,66,92,33.0,8,19.0,E,E,146,11,11
4,Washington Nationals,5,55,103,44.0,12,30.0,E,E,120,15,15
0,St. Louis Cardinals,1,92,66,-,-,-,-,-,138,4,4
1,Milwaukee Brewers,2,84,74,8.0,4,1.0,4,E,158,7,7
2,Chicago Cubs,3,72,86,20.0,7,13.0,E,E,112,10,10
3,Cincinnati Reds,4,60,98,32.0,10,25.0,E,E,113,13,13
4,Pittsburgh Pirates,5,59,99,33.0,11,26.0,E,E,134,14,14
