,playername,gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,atBats,caughtStealing,stolenBases,groundIntoDoublePlay,plateAppearances,totalBases,leftOnBase,sacBunts,sacFlies,catchersInterference,avg,obp,slg,ops,rbi,groundOutsToAirouts,babip,difstrikeOutsbaseOnBalls,strikeOutsperplateAppearance,homeRunsperplateAppearance,hitsperplateAppearance,rbiperplateAppearance,baseOnBallsperplateAppearance,totalBasesperplateAppearance,difstrikeOutsbaseOnBallsperplateAppearance,avg_mean,avg_std,normalized_avg,avg_z_score,babip_mean,babip_std,normalized_babip,babip_z_score,ops_mean,ops_std,normalized_ops,ops_z_score,hits_mean,hits_std,normalized_hits,hits_z_score,rbi_mean,rbi_std,normalized_rbi,rbi_z_score,baseOnBalls_mean,baseOnBalls_std,normalized_baseOnBalls,baseOnBalls_z_score,totalBases_mean,totalBases_std,normalized_totalBases,totalBases_z_score,difstrikeOutsbaseOnBalls_mean,difstrikeOutsbaseOnBalls_std,normalized_difstrikeOutsbaseOnBalls,difstrikeOutsbaseOnBalls_z_score
605131,Austin Barnes,4,54,52,31,6,0,8,35,26,0,38,3,176,9,21,5,208.0,68,87.0,2,1,0,0.216,0.325,0.386,0.711,26.0,1.04,0.22388059701492538,9,0.16826923076923078,0.038461538461538464,0.18269230769230768,0.125,0.125,0.3269230769230769,0.04326923076923077,0.24411111111111114,0.03362600295209292,88.48429676832042,-0.8359932386600077,0.29513220777658894,0.04118141126640814,75.85773125256459,-1.7301886596534348,0.7175370370370371,0.09382679555349382,99.0889617260691,-0.06967132361789051,87.67901234567901,43.679330404764016,43.339904252323294,-1.1373574614197983,45.19753086419753,26.520082512582736,57.5252663206774,-0.7238865435312676,33.49382716049383,19.84450325620344,77.62624401032068,-0.37762734918301577,145.44444444444446,75.79729423709395,46.75324675324675,-1.0217309895284417,54.30246913580247,27.482595171194475,16.573831988177787,-1.6484057947804602
621035,Chris Taylor,118,56,100,45,25,3,10,160,44,2,89,5,402,1,10,4,454.0,150,212.0,0,3,0,0.221,0.304,0.373,0.677,43.0,0.56,0.33617021276595743,116,0.3524229074889868,0.022026431718061675,0.1960352422907489,0.0947136563876652,0.09691629955947137,0.3303964757709251,0.2555066079295154,0.24411111111111114,0.03362600295209292,90.5325443786982,-0.6872987890959747,0.29513220777658894,0.04118141126640814,113.90495645952466,0.9965176939636203,0.7175370370370371,0.09382679555349382,94.35053036364106,-0.4320411541064035,87.67901234567901,43.679330404764016,101.50661785412561,0.030242854963200394,45.19753086419753,26.520082512582736,95.13794045342803,-0.08286289694441523,33.49382716049383,19.84450325620344,131.3674898636196,0.5294248338628439,145.44444444444446,75.79729423709395,103.13216195569134,0.060101822913437575,54.30246913580247,27.482595171194475,213.61827895873594,2.244967423195354
641355,Cody Bellinger,141,98,153,69,27,3,18,146,38,0,103,2,494,3,14,7,540.0,190,230.0,0,6,0,0.209,0.265,0.385,0.65,66.0,0.64,0.25297619047619047,108,0.27037037037037037,0.03333333333333333,0.19074074074074074,0.12222222222222222,0.07037037037037037,0.35185185185185186,0.2,0.24411111111111114,0.03362600295209292,85.61675011379151,-1.044165468049654,0.29513220777658894,0.04118141126640814,85.71622608796733,-1.0236661640293354,0.7175370370370371,0.09382679555349382,90.58765839935995,-0.7198054312590471,87.67901234567901,43.679330404764016,117.47395099971838,0.35076058887225886,45.19753086419753,26.520082512582736,146.0256760447965,0.7844043896142674,33.49382716049383,19.84450325620344,113.45374124585331,0.2270741061808907,145.44444444444446,75.79729423709395,130.6340718105424,0.5878251460558177,54.30246913580247,27.482595171194475,198.88598385813344,1.9538740984868816
518692,Freddie Freeman,156,139,171,116,46,2,20,101,84,12,196,5,600,3,13,6,696.0,306,203.0,0,7,0,0.327,0.409,0.51,0.919,98.0,0.81,0.36213991769547327,17,0.14511494252873564,0.028735632183908046,0.28160919540229884,0.14080459770114942,0.1206896551724138,0.4396551724137931,0.02442528735632184,0.24411111111111114,0.03362600295209292,133.95539371870734,2.465023541661522,0.29513220777658894,0.04118141126640814,122.7043027339152,1.627134861537463,0.7175370370370371,0.09382679555349382,128.07701241386428,2.1471794040765477,87.67901234567901,43.679330404764016,223.54266403829905,2.479914106982433,45.19753086419753,26.520082512582736,216.82600382409177,1.9910371361306956,33.49382716049383,19.84450325620344,250.79248064872831,2.545096351742532,145.44444444444446,75.79729423709395,210.3896103896104,2.1182227831687204,54.30246913580247,27.482595171194475,31.306127088780265,-1.357312470071988
666158,Gavin Lux,126,118,86,65,19,7,6,95,47,0,114,0,410,2,7,3,460.0,165,205.0,0,3,0,0.278,0.35,0.402,0.752,42.0,1.37,0.34615384615384615,48,0.20652173913043478,0.013043478260869565,0.24782608695652175,0.09130434782608696,0.10217391304347827,0.358695652173913,0.10434782608695652,0.24411111111111114,0.03362600295209292,113.882567137005,1.0078179359340003,0.29513220777658894,0.04118141126640814,117.28772293665757,1.2389482732194703,0.7175370370370371,0.09382679555349382,104.80295248664413,0.3673040602064942,87.67901234567901,43.679330404764016,130.01971275696985,0.6025959512293763,45.19753086419753,26.520082512582736,92.92543021032505,-0.12057017027305361,33.49382716049383,19.84450325620344,140.32436417250275,0.6806001977038205,145.44444444444446,75.79729423709395,113.4453781512605,0.25799806909183015,54.30246913580247,27.482595171194475,88.39377060361487,-0.2293258368266589
593643,Hanser Alberto,71,53,40,13,9,2,2,25,3,0,36,0,154,1,0,7,157.0,55,80.0,0,0,0,0.234,0.248,0.357,0.605,15.0,1.33,0.2677165354330709,22,0.1592356687898089,0.012738853503184714,0.22929936305732485,0.09554140127388536,0.01910828025477707,0.3503184713375796,0.14012738853503184,0.24411111111111114,0.03362600295209292,95.85798816568047,-0.3006932202294891,0.29513220777658894,0.04118141126640814,90.71071485214812,-0.6657293060250495,0.7175370370370371,0.09382679555349382,84.3162051255581,-1.1994125598467864,87.67901234567901,43.679330404764016,41.05885666009575,-1.1831457091210924,45.19753086419753,26.520082512582736,33.18765364654466,-1.1386665501462898,33.49382716049383,19.84450325620344,8.956874308883155,-1.5366384719638364,145.44444444444446,75.79729423709395,37.81512605042017,-1.1932410695497153,54.30246913580247,27.482595171194475,40.513811526656816,-1.175379142129193
608336,Joey Gallo,82,29,61,32,4,1,12,106,40,0,37,0,233,0,2,0,273.0,79,122.0,0,0,0,0.159,0.282,0.339,0.621,24.0,0.48,0.21739130434782608,66,0.3882783882783883,0.04395604395604396,0.13553113553113552,0.08791208791208792,0.14652014652014653,0.2893772893772894,0.24175824175824176,0.24411111111111114,0.03362600295209292,65.13427401001366,-2.531109963689982,0.29513220777658894,0.04118141126640814,73.65895643364966,-1.887766859805906,0.7175370370370371,0.09382679555349382,86.54605517846542,-1.028885580793368,87.67901234567901,43.679330404764016,42.19938045620952,-1.1602515852704454,45.19753086419753,26.520082512582736,53.10024583447146,-0.7993010901885443,33.49382716049383,19.84450325620344,119.42499078510873,0.3278576820748751,145.44444444444446,75.79729423709395,54.316271963330784,-0.8766070756642872,54.30246913580247,27.482595171194475,121.54143457997044,0.4256341437674033
457759,Justin Turner,126,96,157,61,36,0,13,87,50,1,129,6,461,0,3,13,525.0,204,199.0,0,8,0,0.28,0.352,0.443,0.795,81.0,0.61,0.3143631436314363,37,0.1657142857142857,0.024761904761904763,0.24571428571428572,0.15428571428571428,0.09523809523809523,0.38857142857142857,0.07047619047619047,0.24411111111111114,0.03362600295209292,114.70186618115612,1.0672957157596135,0.29513220777658894,0.04118141126640814,106.51604106502836,0.46698098155111367,0.7175370370370371,0.09382679555349382,110.79567450383256,0.8255953164125562,87.67901234567901,43.679330404764016,147.1275696986764,0.9460078089890818,45.19753086419753,26.520082512582736,179.21332969134116,1.3500134895438431,33.49382716049383,19.84450325620344,149.2812384813859,0.8317755615447971,145.44444444444446,75.79729423709395,140.25974025974023,0.7725283091556507,54.30246913580247,27.482595171194475,68.13686484028646,-0.629579158300808
571970,Max Muncy,133,85,148,69,22,1,21,138,88,1,90,5,455,0,2,2,554.0,177,211.0,0,6,0,0.198,0.33,0.389,0.719,69.0,0.57,0.22847682119205298,50,0.2490974729241877,0.03790613718411552,0.1624548736462094,0.12454873646209386,0.1588447653429603,0.3194945848375451,0.09025270758122744,0.24411111111111114,0.03362600295209292,81.1106053709604,-1.3712932570905256,0.29513220777658894,0.04118141126640814,77.4150754041073,-1.6185794642474298,0.7175370370370371,0.09382679555349382,100.20388675252276,0.015592165908818697,87.67901234567901,43.679330404764016,102.64714165023936,0.05313697881384743,45.19753086419753,26.520082512582736,152.66320677410542,0.8975262096001826,33.49382716049383,19.84450325620344,262.7349797272392,2.746663503530501,145.44444444444446,75.79729423709395,121.6959511077158,0.41631506603454416,54.30246913580247,27.482595171194475,92.07684437876549,-0.1565525056495409
605141,Mookie Betts,139,125,188,116,40,3,35,102,54,0,153,8,564,2,12,8,630.0,304,196.0,0,4,0,0.271,0.341,0.539,0.88,82.0,0.66,0.2737819025522042,48,0.1619047619047619,0.05555555555555555,0.24285714285714285,0.13015873015873017,0.08571428571428572,0.48253968253968255,0.0761904761904762,0.24411111111111114,0.03362600295209292,111.01502048247609,0.7996457065443541,0.29513220777658894,0.04118141126640814,92.76585046910684,-0.5184452054415213,0.7175370370370371,0.09382679555349382,122.64175290990269,1.7315198926338404,87.67901234567901,43.679330404764016,174.50014080540691,1.4954667814046105,45.19753086419753,26.520082512582736,181.42583993444416,1.3877207628724815,33.49382716049383,19.84450325620344,161.2237375598968,1.033342713332766,145.44444444444446,75.79729423709395,209.0145148968678,2.091836617011601,54.30246913580247,27.482595171194475,88.39377060361487,-0.2293258368266589
