,playername,gamesPlayed,gamesStarted,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,era,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,whip,battersFaced,outs,gamesPitched,completeGames,shutouts,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,totalBases,groundOutsToAirouts,winPercentage,pitchesPerInning,gamesFinished,strikeoutWalkRatio,strikeoutsPer9Inn,walksPer9Inn,hitsPer9Inn,runsScoredPer9,homeRunsPer9,inheritedRunners,inheritedRunnersScored,catchersInterference,sacBunts,sacFlies,assists,putOuts,errors,chances,fielding,rangeFactorPerGame,rangeFactorPer9Inn,innings,games,doublePlays,triplePlays,throwingErrors,passedBall,catcherERA,plateAppearances,rbi,leftOnBase,babip,atBatsPerHomeRun
681911,Alex Vesia,63,0,31,54,14,6,0,2,79,24,1,37,2,.187,198,.280,.247,.527,1,3,.750,1,951,2.15,54.1,5,0,1,3,16,2,13,1.12,227,163,63,0,0,612,.640,2,0,2,0,49,0.57,1.000,17.50,6,3.29,13.09,3.98,6.13,2.32,0.33,27,7,0,2,1,4,1,2,7,.714,0.08,0.83,54.1,63,0,0,2,,,,,,,
571760,Andrew Heaney,16,14,43,69,34,16,1,14,110,19,0,60,9,.214,280,.285,.429,.714,1,0,.000,1,1230,3.10,72.2,4,4,0,0,0,0,25,1.09,310,218,16,0,0,822,.670,9,0,0,0,120,0.62,.500,16.93,1,5.79,13.62,2.35,7.43,4.21,1.73,0,0,0,1,1,2,2,1,5,.800,0.25,0.50,72.2,16,0,0,1,,,,,,,
605131,Austin Barnes,61,0,54,53,31,6,0,8,36,27,0,38,3,.213,178,.325,.382,.707,1,2,.667,5,845,,,,,,,,,,,,,,,,,,,,10,0,68,1.02,,,,,,,,,,,,0,2,1,0,0,0,0,.000,0.00,-.--,0.0,4,0,0,0,2,3.20,211,26,87,.222,22.25
660813,Brusdar Graterol,46,1,73,29,20,8,1,3,43,10,1,39,3,.215,181,.264,.320,.584,0,1,1.000,5,675,3.26,49.2,2,4,4,5,10,1,18,0.99,197,149,46,0,0,486,.720,3,0,0,0,58,2.52,.333,13.59,12,4.30,7.79,1.81,7.07,3.62,0.54,24,8,0,0,3,10,13,0,23,1.000,0.50,4.22,49.2,46,0,0,0,,,,,,,
657571,Caleb Ferguson,36,1,28,35,9,8,0,1,34,16,0,22,1,.185,119,.287,.277,.564,1,1,.500,3,557,1.87,33.2,1,0,0,0,8,0,7,1.13,136,101,36,0,0,363,.650,1,0,0,1,33,0.80,1.000,16.54,2,2.13,9.09,4.28,5.88,2.41,0.27,3,0,0,0,0,2,0,0,2,1.000,0.06,0.55,33.2,36,0,0,0,,,,,,,
455119,Chris Martin,25,0,18,25,4,2,0,1,32,1,0,12,1,.140,86,.157,.198,.355,0,1,1.000,0,334,1.52,23.2,3,1,2,3,2,1,4,0.55,89,71,25,0,0,249,.750,1,0,1,0,17,0.72,.750,14.11,2,32.00,12.17,0.38,4.56,1.52,0.38,15,1,0,0,1,3,2,0,5,1.000,0.20,1.96,23.2,25,0,0,0,,,0,0,0,.---,-.--
621035,Chris Taylor,118,5,56,100,45,25,3,10,160,44,2,89,5,.221,402,.304,.373,.677,1,10,.909,4,1980,,,,,,,,,,,,,,,,,,,,,,150,0.56,,,,,,,,,,,,0,0,3,0,0,0,0,.000,0.00,-.--,0.0,5,0,0,0,,,454,43,212,.336,40.20
477132,Clayton Kershaw,21,21,120,109,35,16,1,9,128,22,0,95,2,.212,449,.251,.312,.563,2,3,.600,8,1770,2.30,121.1,11,3,0,0,0,0,31,0.96,476,364,21,0,0,1197,.680,2,1,0,2,140,1.10,.786,14.59,0,5.82,9.49,1.63,7.05,2.60,0.67,0,0,0,1,2,10,3,2,15,.867,0.62,0.97,121.1,21,0,0,2,,,,,,,
641355,Cody Bellinger,143,134,99,154,69,27,3,18,149,38,0,104,2,.208,500,.264,.382,.646,3,14,.824,7,2289,,,,,,,,,,,,,,,,,,,,,,191,0.64,,,,,,,,,,,,0,0,6,2,321,3,326,.991,2.26,2.39,1214.0,143,0,0,1,,,546,67,232,.254,27.78
518886,Craig Kimbrel,62,0,46,58,31,14,1,4,69,28,2,51,5,.230,222,.328,.356,.684,1,3,.750,4,1062,3.81,59.0,6,7,22,27,2,5,25,1.34,257,177,62,0,0,661,.620,5,1,7,0,79,0.79,.462,18.00,47,2.46,10.53,4.27,7.78,4.73,0.61,3,1,0,1,1,3,3,0,6,1.000,0.10,0.92,59.0,62,0,0,0,,,0,0,0,.---,-.--
